movie_id,title,uri,genre
19995,Avatar,http://dbpedia.org/resource/Avatar_(2009_film),Action  Adventure Fantasy  Science Fiction
285,Pirates of the Caribbean: At World's End,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_At_World%27s_End,Adventure Fantasy Action
206647,Spectre,http://dbpedia.org/resource/Spectre_(2015_film),Action Adventure Crime
49026,The Dark Knight Rises,http://dbpedia.org/resource/The_Dark_Knight_Rises,Action Adventure Crime
49529,John Carter,http://dbpedia.org/resource/John_Carter_(film), Action Adventure Science Fiction
559,Spider-Man 3,http://dbpedia.org/resource/Spider-Man_3,Fantasy Action Adventure
38757,Tangled,http://dbpedia.org/resource/Tangled,Animation Family
99861,Avengers: Age of Ultron,http://dbpedia.org/resource/Avengers:_Age_of_Ultron,Action Adventure Science Fiction
767,Harry Potter and the Half-Blood Prince,http://dbpedia.org/resource/Harry_Potter_and_the_Half-Blood_Prince_(film),Adventure Fantasy Family
209112,Batman v Superman: Dawn of Justice,http://dbpedia.org/resource/Batman_v_Superman:_Dawn_of_Justice,Action Adventure Fantasy
1452,Superman Returns,http://dbpedia.org/resource/Superman_Returns,Adventure Fantasy Action Science Fiction
10764,Quantum of Solace,http://dbpedia.org/resource/Quantum_of_Solace,Adventure Action Thriller
58,Pirates of the Caribbean: Dead Man's Chest,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,Adventure Fantasy Action
57201,The Lone Ranger,http://dbpedia.org/resource/The_Lone_Ranger_(2013_film),Action Adventure Western
49521,Man of Steel,http://dbpedia.org/resource/Man_of_Steel_(film),Action Adventure Fantasy Science Fiction
2454,The Chronicles of Narnia: Prince Caspian,http://dbpedia.org/resource/The_Chronicles_of_Narnia:_Prince_Caspian,Adventure Family Fantasy
24428,The Avengers,http://dbpedia.org/resource/The_Avengers_(2012_film),Science Fiction Action Adventure
1865,Pirates of the Caribbean: On Stranger Tides,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_On_Stranger_Tides,Adventure Action Fantasy
41154,Men in Black 3,http://dbpedia.org/resource/Men_in_Black_3,Action Comedy Science Fiction
122917,The Hobbit: The Battle of the Five Armies,http://dbpedia.org/resource/The_Hobbit:_The_Battle_of_the_Five_Armies,Action Adventure Fantasy
1930,The Amazing Spider-Man,http://dbpedia.org/resource/The_Amazing_Spider-Man_(2012_film),Action Adventure Fantasy
20662,Robin Hood,http://dbpedia.org/resource/Robin_Hood_(2018_film),Action Adventure
57158,The Hobbit: The Desolation of Smaug,http://dbpedia.org/resource/The_Hobbit:_The_Desolation_of_Smaug,Adventure Fantasy
2268,The Golden Compass,http://dbpedia.org/resource/The_Golden_Compass_(film),Adventure Fantasy
254,King Kong,http://dbpedia.org/resource/King_Kong_(2005_film),Adventure Drama Action
597,Titanic,http://dbpedia.org/resource/Titanic_(1997_film),Drama Romance Thriller
271110,Captain America: Civil War,http://dbpedia.org/resource/Captain_America:_Civil_War,Adventure Action Science Fiction
44833,Battleship,http://dbpedia.org/resource/Battleship_(film),Thriller Action Adventure Science Fiction
135397,Jurassic World,http://dbpedia.org/resource/Jurassic_World,Action Adventure Science Fiction Thriller
37724,Skyfall,http://dbpedia.org/resource/Skyfall,Action Adventure Thriller
558,Spider-Man 2,http://dbpedia.org/resource/Spider-Man_2,Action Adventure Fantasy
68721,Iron Man 3,http://dbpedia.org/resource/Iron_Man_3,Action Adventure Science Fiction
12155,Alice in Wonderland,http://dbpedia.org/resource/Alice_in_Wonderland_(2010_film),Family Fantasy Adventure
36668,X-Men: The Last Stand,http://dbpedia.org/resource/X-Men:_The_Last_Stand,Adventure Action Science Thriller
62211,Monsters University,http://dbpedia.org/resource/Monsters_University,Animation Family
8373,Transformers: Revenge of the Fallen,http://dbpedia.org/resource/Transformers:_Revenge_of_the_Fallen,Science Fiction Action Adventure
91314,Transformers: Age of Extinction,http://dbpedia.org/resource/Transformers:_Age_of_Extinction,Science Fiction Action Adventure
68728,Oz: The Great and Powerful,http://dbpedia.org/resource/Oz_the_Great_and_Powerful,Fantasy Adventure Family
102382,The Amazing Spider-Man 2,http://dbpedia.org/resource/The_Amazing_Spider-Man_2,Action Adventure Fantasy
20526,TRON: Legacy,http://dbpedia.org/resource/Tron:_Legacy,Adventure Action Science Fiction
49013,Cars 2,http://dbpedia.org/resource/Cars_2,Animation Family Adventure Comedy
44912,Green Lantern,http://dbpedia.org/resource/Green_Lantern_(film),Adventure Action Thriller Science Fiction
10193,Toy Story 3,http://dbpedia.org/resource/Toy_Story_3,Animation Family Comedy
534,Terminator Salvation,http://dbpedia.org/resource/Terminator_Salvation,Action Science Fiction Thriller
168259,Furious 7,http://dbpedia.org/resource/Furious_7,Action
72190,World War Z,http://dbpedia.org/resource/World_War_Z_(film),Action Drama Horror Science Fiction Thriller
127585,X-Men: Days of Future Past,http://dbpedia.org/resource/X-Men:_Days_of_Future_Past,Action Adventure Fantasy Science Fiction
54138,Star Trek Into Darkness,http://dbpedia.org/resource/Star_Trek_Into_Darkness,Action Adventure Science Fiction
81005,Jack the Giant Slayer,http://dbpedia.org/resource/Jack_the_Giant_Slayer,Action Family Fantasy
64682,The Great Gatsby,http://dbpedia.org/resource/The_Great_Gatsby_(2013_film),Drama Romance
9543,Prince of Persia: The Sands of Time,http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time_(film),Adventure Fantasy Action Romance
68726,Pacific Rim,http://dbpedia.org/resource/Pacific_Rim_(film),Action Science Fiction Adventure
38356,Transformers: Dark of the Moon,http://dbpedia.org/resource/Transformers:_Dark_of_the_Moon,Action Science Fiction Adventure
217,Indiana Jones and the Kingdom of the Crystal Skull,http://dbpedia.org/resource/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,Adventure Action
105864,The Good Dinosaur,http://dbpedia.org/resource/The_Good_Dinosaur,Adventure Animation Family
62177,Brave,http://dbpedia.org/resource/Brave_(2012_film),Animation Adventure Comedy Family Action Fantasy
188927,Star Trek Beyond,http://dbpedia.org/resource/Star_Trek_Beyond,Action Adventure Science Fiction
10681,WALLÂ·E,http://dbpedia.org/resource/WALL-E,Animation Family
5174,Rush Hour 3,http://dbpedia.org/resource/Rush_Hour_3,Action Comedy Crime Thriller
17979,A Christmas Carol,http://dbpedia.org/resource/A_Christmas_Carol_(2009_film),Animation Drama
76757,Jupiter Ascending,http://dbpedia.org/resource/Jupiter_Ascending,Science Fiction Fantasy Action Adventure
258489,The Legend of Tarzan,http://dbpedia.org/resource/The_Legend_of_Tarzan_(film),Action Adventure
246655,X-Men: Apocalypse,http://dbpedia.org/resource/X-Men:_Apocalypse,Science Fiction
155,The Dark Knight,http://dbpedia.org/resource/The_Dark_Knight_(film),Drama Action Crime Thriller
14160,Up,http://dbpedia.org/resource/Up_(2009_film),Animation Comedy Family Adventure
15512,Monsters vs Aliens,http://dbpedia.org/resource/Monsters_vs._Aliens,Animation Family Adventure Science Fiction
1726,Iron Man,http://dbpedia.org/resource/Iron_Man_(2008_film),Action Science Fiction Adventure
44826,Hugo,http://dbpedia.org/resource/Hugo_(film),Adventure Drama Family
8487,Wild Wild West,http://dbpedia.org/resource/Wild_Wild_West,Action Adventure Comedy Science Fiction Western
1735,The Mummy: Tomb of the Dragon Emperor,http://dbpedia.org/resource/The_Mummy:_Tomb_of_the_Dragon_Emperor,Adventure Action Fantasy
297761,Suicide Squad,http://dbpedia.org/resource/Suicide_Squad_(film),Action Adventure Crime Fantasy Science Fiction
2698,Evan Almighty,http://dbpedia.org/resource/Evan_Almighty,Fantasy Comedy Family
